track_id,track_name,artist_names,track_type,track_uri,track_href,spotify_url,duration_ms,popularity,explicit,track_number,rank,time_range,features_found,match_source,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
4Q9ExJGFgL9Jd9kmYH3nXs,Miss possessive,Tate McRae,track,spotify:track:4Q9ExJGFgL9Jd9kmYH3nXs,https://api.spotify.com/v1/tracks/4Q9ExJGFgL9Jd9kmYH3nXs,https://open.spotify.com/track/4Q9ExJGFgL9Jd9kmYH3nXs,139098,,True,1,33,long_term,1,spotify_id,32157bb6-32bc-479b-bad9-cd635c42e97a,https://open.spotify.com/track/4Q9ExJGFgL9Jd9kmYH3nXs,USRC12403576,0.259,0.782,0.747,1.85e-05,8.0,0.1,-4.656,1.0,0.0361,101.992,0.325
71p2ub5QJhJTzfvXbXaUXd,High No More,Hajaj,track,spotify:track:71p2ub5QJhJTzfvXbXaUXd,https://api.spotify.com/v1/tracks/71p2ub5QJhJTzfvXbXaUXd,https://open.spotify.com/track/71p2ub5QJhJTzfvXbXaUXd,198845,,False,1,34,long_term,1,spotify_id,1c71b77f-3105-461b-aa91-b468f8a1a3f9,https://open.spotify.com/track/71p2ub5QJhJTzfvXbXaUXd,USUYG1389847,0.0117,0.885,0.272,0.158,10.0,0.114,-11.362,0.0,0.0628,112.026,0.806
46Y9vXsmtnYZdEwny4o1Dd,Medallion,Jenevieve,track,spotify:track:46Y9vXsmtnYZdEwny4o1Dd,https://api.spotify.com/v1/tracks/46Y9vXsmtnYZdEwny4o1Dd,https://open.spotify.com/track/46Y9vXsmtnYZdEwny4o1Dd,147133,,True,1,35,long_term,1,spotify_id,9573e20e-ba07-4607-bbc7-648a110445b4,https://open.spotify.com/track/46Y9vXsmtnYZdEwny4o1Dd,GBKPL2082444,0.164,0.772,0.474,6.53e-06,10.0,0.374,-6.791,0.0,0.0466,78.961,0.81
36GforftaCASOR8kBnhqN8,I Wasn’t There,"Kevin Abstract, DERBY",track,spotify:track:36GforftaCASOR8kBnhqN8,https://api.spotify.com/v1/tracks/36GforftaCASOR8kBnhqN8,https://open.spotify.com/track/36GforftaCASOR8kBnhqN8,127888,,False,11,36,long_term,1,spotify_id,9ed0ea94-54ab-4720-8811-9fdf3d2d0885,https://open.spotify.com/track/36GforftaCASOR8kBnhqN8,USA2P2527026,0.207,0.619,0.532,0.0,1.0,0.438,-7.336,0.0,0.0479,159.821,0.357
0je57Uq5eTk1wrPzn9sWbl,When Did You Get Hot?,Sabrina Carpenter,track,spotify:track:0je57Uq5eTk1wrPzn9sWbl,https://api.spotify.com/v1/tracks/0je57Uq5eTk1wrPzn9sWbl,https://open.spotify.com/track/0je57Uq5eTk1wrPzn9sWbl,145398,,False,8,37,long_term,1,spotify_id,b24a953b-74a9-41e8-9a00-c218c89f90ae,https://open.spotify.com/track/0je57Uq5eTk1wrPzn9sWbl,USUM72504446,0.231,0.696,0.665,0.0,5.0,0.33,-4.559,1.0,0.13,89.136,0.573
0RLl3obXeC2HsCQcI1EglP,Sweet Serotonin,Amber Mark,track,spotify:track:0RLl3obXeC2HsCQcI1EglP,https://api.spotify.com/v1/tracks/0RLl3obXeC2HsCQcI1EglP,https://open.spotify.com/track/0RLl3obXeC2HsCQcI1EglP,181310,,False,3,38,long_term,0,,,,,,,,,,,,,,,
5ubvP9oKmxLUVq506fgLhk,Stayin Alive,Bee Gees,track,spotify:track:5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,https://open.spotify.com/track/5ubvP9oKmxLUVq506fgLhk,285373,,False,1,39,long_term,0,,,,,,,,,,,,,,,
1Nk1kQx3HmUaobcAu9S26f,ACTIN UP,Tommy Richman,track,spotify:track:1Nk1kQx3HmUaobcAu9S26f,https://api.spotify.com/v1/tracks/1Nk1kQx3HmUaobcAu9S26f,https://open.spotify.com/track/1Nk1kQx3HmUaobcAu9S26f,133768,,True,1,40,long_term,1,spotify_id,86adbdca-85ff-40a2-905d-bd1417a961a6,https://open.spotify.com/track/1Nk1kQx3HmUaobcAu9S26f,USC4R2553047,0.0161,0.927,0.536,0.0,1.0,0.0947,-5.245,0.0,0.0741,144.978,0.449
6WTFHKrnZpwEBLRS10Ylqs,misses,Dominic Fike,track,spotify:track:6WTFHKrnZpwEBLRS10Ylqs,https://api.spotify.com/v1/tracks/6WTFHKrnZpwEBLRS10Ylqs,https://open.spotify.com/track/6WTFHKrnZpwEBLRS10Ylqs,74378,,False,6,41,long_term,1,spotify_id,71dec1de-779b-48d5-846a-0615db2c8eed,https://open.spotify.com/track/6WTFHKrnZpwEBLRS10Ylqs,USQX92401826,0.13,0.578,0.509,0.734,2.0,0.344,-6.229,1.0,0.0279,119.945,0.586
3orJAvBLWveT5ruftD5KoP,More to Love,Elle Eliades,track,spotify:track:3orJAvBLWveT5ruftD5KoP,https://api.spotify.com/v1/tracks/3orJAvBLWveT5ruftD5KoP,https://open.spotify.com/track/3orJAvBLWveT5ruftD5KoP,184125,,False,1,42,long_term,1,spotify_id,c8bae482-27a6-4de3-924d-0a09524e96bd,https://open.spotify.com/track/3orJAvBLWveT5ruftD5KoP,QZTB42220489,0.428,0.451,0.299,0.000163,7.0,0.121,-11.306,1.0,0.156,79.263,0.394
2uvE4L5ZsYKpv8hbK4TIOt,MUTT,Leon Thomas,track,spotify:track:2uvE4L5ZsYKpv8hbK4TIOt,https://api.spotify.com/v1/tracks/2uvE4L5ZsYKpv8hbK4TIOt,https://open.spotify.com/track/2uvE4L5ZsYKpv8hbK4TIOt,192933,,True,11,43,long_term,1,spotify_id,31371b5d-ee7e-44ac-b7fd-212591232116,https://open.spotify.com/track/2uvE4L5ZsYKpv8hbK4TIOt,USUM72409025,0.216,0.572,0.455,3.88e-06,1.0,0.072,-8.078,1.0,0.134,179.787,0.597
2nFDM7uMOdPGPz37FluIob,Superficial,Lawrence,track,spotify:track:2nFDM7uMOdPGPz37FluIob,https://api.spotify.com/v1/tracks/2nFDM7uMOdPGPz37FluIob,https://open.spotify.com/track/2nFDM7uMOdPGPz37FluIob,248026,,True,11,44,long_term,1,spotify_id,c2064246-8f3c-400b-9c33-92b125296750,https://open.spotify.com/track/2nFDM7uMOdPGPz37FluIob,US7VG1610103,0.567,0.674,0.502,0.0,1.0,0.11,-7.603,0.0,0.24,100.212,0.286
5lSszsPqufMetObXX3zCQU,In a Trance,Malcolm Todd,track,spotify:track:5lSszsPqufMetObXX3zCQU,https://api.spotify.com/v1/tracks/5lSszsPqufMetObXX3zCQU,https://open.spotify.com/track/5lSszsPqufMetObXX3zCQU,83368,,False,6,45,long_term,1,spotify_id,d3f026f7-b6c1-4a90-b4d8-03bbe68dd1b1,https://open.spotify.com/track/5lSszsPqufMetObXX3zCQU,USSM12306218,0.0961,0.878,0.636,0.265,8.0,0.0997,-4.526,0.0,0.0708,94.997,0.878
45J4avUb9Ni0bnETYaYFVJ,luther (with sza),"Kendrick Lamar, SZA",track,spotify:track:45J4avUb9Ni0bnETYaYFVJ,https://api.spotify.com/v1/tracks/45J4avUb9Ni0bnETYaYFVJ,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ,177598,,False,3,46,long_term,1,spotify_id,a8e512b0-b95e-4ae2-8cf8-21ad5f44297e,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ,USUG12408496,0.251,0.707,0.575,0.0,2.0,0.248,-7.546,1.0,0.125,138.008,0.576
0w5Bdu51Ka25Pf3hojsKHh,Hard Times,Paramore,track,spotify:track:0w5Bdu51Ka25Pf3hojsKHh,https://api.spotify.com/v1/tracks/0w5Bdu51Ka25Pf3hojsKHh,https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh,182693,,False,1,47,long_term,1,spotify_id,84c3b1ae-0e4b-4e03-9e76-de53c9187f0f,https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh,USAT21700948,0.00647,0.695,0.818,4.87e-06,5.0,0.0219,-5.379,0.0,0.0334,119.965,0.916
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,"Kanye West, Syleena Johnson",track,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,https://api.spotify.com/v1/tracks/5SkRLpaGtvYPhw02vZhQQ9,https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9,223506,,True,4,48,long_term,1,spotify_id,7955d707-71a3-4b1e-a9dd-10be4f9d14ed,https://open.spotify.com/track/5SkRLpaGtvYPhw02vZhQQ9,USDJ20301703,0.149,0.657,0.734,0.0,8.0,0.139,-4.832,0.0,0.484,91.03,0.434
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,track,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,https://api.spotify.com/v1/tracks/3ZOEytgrvLwQaqXreDs2Jx,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,269000,,False,7,49,long_term,1,spotify_id,91b2fd85-54b1-4256-b552-7057daf214cf,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,USWB10201694,0.0179,0.618,0.938,0.0,9.0,0.167,-3.442,1.0,0.0456,91.455,0.875
3qdskG3Sc6E2OddOfyBUpt,Spooky - Quinten 909 Radio Mix,"Dusty Springfield, Quinten 909",track,spotify:track:3qdskG3Sc6E2OddOfyBUpt,https://api.spotify.com/v1/tracks/3qdskG3Sc6E2OddOfyBUpt,https://open.spotify.com/track/3qdskG3Sc6E2OddOfyBUpt,162000,,False,2,50,long_term,1,spotify_id,99b2b616-350c-4df0-b99c-f52ff23f42bf,https://open.spotify.com/track/3qdskG3Sc6E2OddOfyBUpt,NLTH11400064,0.0204,0.808,0.793,0.00023,4.0,0.0751,-8.1,0.0,0.0484,122.992,0.88
